	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
QESKWn60c6KIyk366I	PSMC4	0.0754213164149333	-1.39	426.69	307.4	proteasome 26S subunit, ATPase 4
3RSnk4h4X1pPfHDLf0	DENND5B	0.0755840473210834	-1.46	170.37	116.97	DENN/MADD domain containing 5B
6VxASTjQI3HUSd91fU	NA	0.075619711045505	1.43	77.97	111.27	NA
0fgCjvrl87hGJSJeeo	NEMP1	0.075619711045505	-1.66	220.13	132.97	nuclear envelope integral membrane protein 1
ueMSoPu3ShNcU4RLEo	EAF2	0.075619711045505	-1.43	126.88	88.85	ELL associated factor 2
QtAJU8GIC5eVHkGiWU	ATXN7L2	0.075619711045505	-1.42	99.81	70.06	ataxin 7-like 2
uiSIp.y6_Hx4uOXgso	ZNF721	0.075619711045505	-1.39	192.95	138.67	zinc finger protein 721
KoXa301C6Xiz9HpK_4	ALDH1A3	0.0756782341664037	1.57	558.33	876.24	aldehyde dehydrogenase 1 family, member A3
Q1IiaBKYoAstX3aY94	UBC	0.0756782341664037	-1.38	101.4	73.44	ubiquitin C
6qwiH5.Ur2R.Suyeqk	NA	0.0756782341664037	-1.46	250.88	171.27	NA
fnuOrzNMDkn6r6JKpU	TEAD3	0.0757393481758068	-1.46	120.72	82.93	TEA domain family member 3
QW4por7LiUI2RT5EUE	CSF2RA	0.0757745869399123	1.41	743.1	1045.01	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
NSepI.peSrMvp4XQ3I	TRAPPC13	0.0757766438067075	1.41	113.8	160.22	trafficking protein particle complex 13
rKoYq.WilKMm9Hw5Xg	NA	0.0759010675543704	1.49	78.47	117.02	NA
9_Ska6E56Ezny_vSoU	MIOS	0.0761637769682818	1.38	180.12	247.77	missing oocyte, meiosis regulator, homolog (Drosophila)
Zc4v_rqyKrn_Xv_rEo	NUFIP1	0.0761860341439727	-1.46	92.86	63.67	nuclear fragile X mental retardation protein interacting protein 1
rniefXv994_deqAEZc	SRSF8	0.0761860341439727	1.49	177.41	264.08	serine/arginine-rich splicing factor 8
N6oTiekQQo33clQDbo	LRRCC1	0.0762853834127885	-1.41	155.9	110.92	leucine rich repeat and coiled-coil centrosomal protein 1
ivqukS6VAiSfSIw9fo	STX12	0.0762853834127885	1.42	236.09	335.66	syntaxin 12
6uT7nf1C9JJL3NLrlE	BNIP3L	0.0763676115534114	1.66	751.39	1243.56	BCL2/adenovirus E1B 19kDa interacting protein 3-like
uLhJ_6f.PInZRgcqwo	CDH13	0.0763717204700896	1.77	160.22	283.45	cadherin 13
uv516Ekl3UkHqOGElw	PKMYT1	0.0763717204700896	-1.55	156.88	100.93	protein kinase, membrane associated tyrosine/threonine 1
6LnXvkoeeoASuu6h8I	SF3A1	0.0764571559182247	-1.44	170.74	118.78	splicing factor 3a, subunit 1, 120kDa
3LoTU6OIDmjOoeIUnU	SNORD99	0.0764944247575965	-1.4	100.18	71.43	small nucleolar RNA, C/D box 99
T9Hh5pO127fd4.7rE4	SLC25A36	0.0765362595444454	1.52	155.37	235.47	solute carrier family 25 (pyrimidine nucleotide carrier), member 36
BslSRJ9.skdYOv6Fuk	CDC25C	0.0767556738892882	-1.38	147.7	106.71	cell division cycle 25C
