	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
TUSC1	0.0748214969530297	-1.92560826772283	3203.61868607804	2093.92613002746	2609.34606126351	3094.31711799566	1223.29590287527	884.1283314133	2055.17782200409	1773.57728749098
DIRC2	0.0748214969530297	-2.03321862503127	1760.62896628651	1179.05003868744	1866.82073913215	1529.74369581811	602.815490045032	488.987177709031	1124.42685361128	1041.18744320668
FAM5B	0.0749483147305996	4.50893551939962	7.77892032232627	23.6366163416114	12.8424190934669	10.5042031877644	101.573306014914	32.1052187384718	36.5217383554846	88.39187775845
KBTBD11	0.0749743539135145	2.77144775353997	556.192803046328	1070.59968135534	402.784962476917	707.651583175709	3018.49368092146	1205.18051879802	1994.30825807828	1357.44669414763
SAV1	0.0755616260283972	-2.28730474062797	11059.0317249072	8695.49403531987	6319.63768663058	4738.50134328047	2650.84247545444	2535.07746423394	4257.54931677422	3669.41087344007
SCAMP5	0.0755616260283972	2.6332482807781	224.292202627074	590.915408540285	617.603609131273	595.422464906436	1605.29985810527	1390.40293459689	979.44661953345	1149.09441085985
PDE4C	0.0759557784759462	-2.93118707567048	164.653813489239	97.3272437595764	56.0396469533102	218.376855745629	40.8501339407806	45.688195897056	28.7747029467454	51.0836176655977
ARL10	0.0759557784759462	1.88525487967116	951.621252764581	1288.89078521611	824.249807271603	480.98193543974	1946.45367939449	2141.171126635	1369.01182865862	1076.77378360294
CCNB1	0.0759752942501675	2.4389554928935	184.101114295055	444.92454290092	302.380595018903	264.816490891535	653.602143052489	586.537650029772	739.288521862536	811.024177095389
NCAPG	0.0759752942501675	3.06786041307178	90.7540704271398	340.645353158517	117.916757130923	46.9924879452619	383.108012904077	398.845602020245	489.169950094672	194.57692571503
SLC15A2	0.0759752942501675	2.54990887375076	150.392459564975	357.330023517302	176.291389373955	193.498479774608	463.704223111564	1647.24468450467	276.679836026398	367.916841838743
PLK4	0.0759752942501675	2.90779038260349	90.7540704271398	254.441222971464	149.43905854216	111.123412670561	352.194398029973	355.627038333841	369.644260931268	587.174616538275
SAA1	0.0763528308017824	-6.50902021625763	7741.32220743503	207.167990288241	173141.494218121	25010.5077900671	68.4515757926593	40.7489314757526	47633.2005703047	11062.1861041468
FDFT1	0.0763528308017824	-1.89914038427124	9151.89975921686	7424.67830965911	11369.0433756528	10678.9046723609	7012.97434572535	2621.51459160675	5924.26864899724	5812.62692246638
CPA3	0.0766688839109478	-5.46205428570029	709.178236052078	13869.1322357396	3197.76235427326	3400.59756883889	586.254624933905	3826.69511040477	67.5098799904412	562.493767553773
ORM1	0.0766995244992995	-4.46092201031718	445.991431813373	11.123113572523	123.754220355227	206.214094159797	30.9136148741042	8.64371273728086	17.7075095056895	80.9302257398796
SLAMF7	0.07730496380345	2.71314177655167	151.688946285362	311.447180030645	179.793867308537	440.070828287394	455.975819393038	1807.77077819703	437.15414092171	566.511580179157
KRT23	0.07730496380345	-35.3013415687403	1074.78749120141	15.2942811622191	144.769087962718	152.034519822906	1.10405767407515	1.23481610532584	1.10671934410559	134.309736334268
PTGES	0.0778850090862869	-2.63176649933515	745.479864222934	500.540110763536	367.760183131098	663.423359227227	134.695036237168	193.866128536156	204.743078659535	343.809966086439
PLA2G2A	0.0780322985718129	-13.7503004972159	13865.9254745466	7936.34153399516	16451.1388587311	32525.9887445129	209.770958074279	20511.5303255675	1448.69562143422	1045.20525583206
SCGN	0.0780322985718129	10.4622798616247	54.4524422562839	2.78077839313075	147.104073252439	23.772670372309	1650.56622274235	7.40889663195502	200.316201283112	1579.00036177595
CTSK	0.0784738646646132	-2.47623902961984	6497.99144258321	10647.6004672977	13191.4993942802	27440.8486960362	4036.43485641875	7098.95778951824	5295.65206154527	4157.28812080814
ZNF367	0.0784738646646132	2.64160572304886	124.46272515722	243.318109398941	176.291389373955	168.620103803587	401.876993363355	350.687773912538	424.980228136548	724.92819226573
HMMR	0.0788257510598235	4.99300729520656	20.7437875262034	283.639396099337	96.9018895234321	13.8213199839006	232.956169229857	275.363991487662	387.351770436958	177.357728749098
CLSPN	0.0788977347714303	2.84092045094318	32.4121680096928	65.3482922385727	98.0693821682928	51.9681631394662	138.007209259394	153.117197060404	177.075095056895	191.707059554041
CHPF	0.0789570386473515	3.08955350809126	2115.86632767275	10472.4114285304	2179.70876795479	5534.05652155379	13024.5683810646	8604.19862191043	6466.56112760898	29673.8421313903
PEPD	0.0795255042825392	-1.94431785616376	5852.34105583013	8513.35305056981	13456.5202246636	9763.38043662736	4017.66587595947	4162.5650910534	4171.22520793399	6518.61399806959
CACNA2D2	0.0797310239169422	2.98463167835318	146.502999403811	322.570293603167	124.921713000087	162.538723010671	858.956870430467	387.732257072313	322.055329134728	690.489798333866
