	FDR	FC	NF	WD
FBXL15	0.82325163761648	1.12841421764179	906.546469699907	1116.7867383994
SUGP1	0.823263977985408	1.09256360082082	1686.4512824763	1878.32747516267
LFNG	0.823679443986076	-1.16312264104072	2099.5170141153	1885.91914884404
TRABD2A	0.823679443986076	-1.22615854943695	815.738918546652	736.860104892559
CCDC85B	0.823829745170539	-1.11732485151721	4692.51806147049	4417.74202869593
PIK3C2A	0.823896233110712	-1.10078960193417	5895.80450401417	5283.67202530405
NDUFA10	0.824348765782071	1.08429962530162	10172.9922629308	11012.5265669974
ACBD4	0.824348765782071	-1.11111064796323	1655.61623053064	1553.07018819407
PLCG2	0.824348765782071	1.14790183392197	2681.88188341642	2548.62785336318
CDH13	0.824418318507679	1.18435173363784	2913.38153039087	3114.85747656532
CYP39A1	0.824418318507679	-1.16525488990849	224.528671174433	179.357194089821
AP4S1	0.824418318507679	1.10297475096356	409.024364900775	451.194462630405
ITGAV	0.824418318507679	-1.11755698109216	9542.74284492195	8337.08006597377
PPIB	0.824499331367779	-1.08567814572637	10675.1492716787	9785.85177563992
ZNF583	0.824612487671237	1.12087283774337	464.81426442721	522.683126961075
GGPS1	0.824796845709659	-1.06922291290591	2604.22574248969	2448.36029658982
KIAA1430	0.824796845709659	1.08335875394764	2795.02518770833	3060.48567759917
IFITM10	0.824923302630943	1.1667190291037	442.311027908566	448.6901856252
ATMIN	0.824923302630943	-1.07302745082503	5242.23162559581	4830.7870343698
GGNBP2	0.825114123913666	-1.07159313716186	7668.19285710293	7115.92515231711
P4HA1	0.825385842575551	1.0796132095625	3978.18334824796	4301.9323965134
COBL	0.825544104820436	-1.32470519132723	744.500061479412	476.781074472489
CD7	0.825548463296187	1.25915224595572	443.614478920927	450.846610007148
HSD17B4	0.825548463296187	1.09192810668788	12374.7454317697	13112.1829627381
SORBS2	0.825548463296187	-1.1431784706721	2289.38710562411	1769.48861242847
PPP2R5C	0.825548463296187	-1.07383570168939	8196.28688796436	7572.90257182735
PRR14	0.825548463296187	1.09639697587698	2523.7561351675	2711.45609286505
PRRC2C	0.825548463296187	-1.10518781633035	12745.7149618963	11802.8936118654
BAHD1	0.825548463296187	1.10005542243376	2601.09282464436	2825.71720679436
ATP5SL	0.825767565784914	1.07722673445049	2208.157865277	2342.39900382507
MON2	0.826078581099024	1.07340726917222	5347.51347556173	5795.87541750826
CIDEB	0.826078581099024	-1.14421352601924	66.5825632989603	56.8149931110601
MRPL39	0.826353786553682	1.08690420996271	1427.82143769723	1521.2479998751
PIGL	0.826745551834833	1.11111608838413	880.333397166245	948.418096255517
SRRM5	0.826771877204034	1.16759286504344	57.2080913144015	69.9452580694151
ABHD14A	0.826771877204034	1.12131659092868	1178.5608648345	1282.22910374754
